Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,S275J2G3,1.0144,---,≤ 16,---,0.18,1.50,---,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,16 < t ≤ 40,---,0.18,1.50,---,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,> 40,---,0.18,1.50,---,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,S275J2G4,1.0145,---,≤ 16,---,0.18,1.50,---,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,16 < t ≤ 40,---,0.18,1.50,---,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,> 40,---,0.18,1.50,---,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 1011/A 1011M-03,50 [340],---,K02507,≤ 6.0,≤ 0.229,0.25,1.35,report value,0.035,0.04,0.15,0.20,0.06,Cb 0.008; V 0.008; Al report value; Cu see standard; Cu + Ni + Cr + Mo 0.50; Cr + Mo see standard
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 573/A 573M-00a,65 [450],---,K02404,≤ 13,≤ ½,0.24,0.85-1.20,0.15-0.40,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 573/A 573M-00a,,,,13 < t ≤ 40,½ < t ≤ 1½,0.26,0.85-1.20,0.15-0.40,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 529/A 529M-03,50 [345],---,K02703,≤ 25,≤ 1,0.27,1.35,0.40,0.04,0.05,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 529/A 529M-03,55 [380],---,K02703,≤ 25,≤ 1,0.27,1.35,0.40,0.04,0.05,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 1011/A 1011M-03,55 [380],---,K02507,≤ 6.0,≤ 0.229,0.25,1.35,report value,0.035,0.04,0.15,0.20,0.06,Cb 0.008; V 0.008; Al report value; Cu see standard; Cu + Ni + Cr + Mo 0.50; Cr + Mo see standard
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 573/A 573M-00a,70 [485],---,K02701,≤ 13,≤ ½,0.27,0.85-1.20,0.15-0.40,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 573/A 573M-00a,,,,13 < t ≤ 40,½ < t ≤ 1½,0.28,0.85-1.20,0.15-0.40,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 678/A 678M-00a,A,---,K01600,≤ 40,≤ 1½,0.16,0.90-1.50,0.15-0.50,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3101:1995,SS490,---,---,---,---,---,---,---,0.050,0.050,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3106:1999,SM490A,---,---,≤ 50,---,0.20,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3106:1999,,,,50< t ≤ 200,---,0.22,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3106:1999,SM490B,---,---,≤ 50,---,0.18,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3106:1999,,,,50< t ≤ 200,---,0.20,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3106:1999,SM490C,---,---,≤ 100,---,0.18,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3106:1999,SM490YA,---,---,≤ 100,---,0.20,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3106:1999,SM490YB,---,---,≤ 100,---,0.20,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3136:1994,SN490B,---,---,6 ≤ t ≤ 50,---,0.18,1.60,0.55,0.030,0.015,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3136:1994,,,,50 < t ≤ 100,---,0.20,1.60,0.55,0.030,0.015,---,---,---,---
