Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,EN 10137-3:1996,S550AL,1.8992,---,3 ≤ t ≤ 70,---,0.03-0.12,0.30-1.80,0.50,0.020,0.010,0.3,2,0.5,N 0.015; Cu 2; Nb 0.060; Ti 0.10; V 0.10; Al 0.080
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,EN 10137-2:1996,S620Q,1.8914,---,---,---,0.20,1.70,0.80,0.025,0.015,1.50,2.0,0.70,N 0.015; B 0.0050; Cu 0.50; Nb 0.06; Ti 0.05; V 0.12; Zr 0.15
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,EN 10137-2:1996,S620QL,1.8927,---,---,---,0.20,1.70,0.80,0.020,0.010,1.50,2.0,0.70,N 0.015; B 0.0050; Cu 0.50; Nb 0.06; Ti 0.05; V 0.12; Zr 0.15
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,EN 10137-2:1996,S620QL1,1.8987,---,---,---,0.20,1.70,0.80,0.020,0.010,1.50,2.0,0.70,N 0.015; B 0.0050; Cu 0.50; Nb 0.06; Ti 0.05; V 0.12; Zr 0.15
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,EN 10137-3:1996,S620A,1.8993,---,3 ≤ t ≤ 70,---,0.03-0.12,0.30-1.80,0.50,0.025,0.015,0.3,2,0.5,N 0.015; Cu 2; Nb 0.060; Ti 0.10; V 0.10; Al 0.080
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,EN 10137-3:1996,S620AL,1.8994,---,3 ≤ t ≤ 70,---,0.03-0.12,0.30-1.80,0.50,0.020,0.010,0.3,2,0.5,N 0.015; Cu 2; Nb 0.060; Ti 0.10; V 0.10; Al 0.080
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,ASTM A 514/A 514M-00a,A,---,K11856,≤ 32,≤ 1¼,0.15-0.21,0.80-1.10,0.40-0.80,0.035,0.035,0.50-0.80,---,0.18-0.28,Zr 0.05-0.15; B 0.0025
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,ASTM A 514/A 514M-00a,B,---,K11630,≤ 32,≤ 1¼,0.12-0.21,0.70-1.00,0.20-0.35,0.035,0.035,0.40-0.65,---,0.15-0.25,V 0.03-0.08; Ti 0.01-0.03; B 0.0005-0.005
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,ASTM A 514/A 514M-00a,C,---,K11511,≤ 32,≤ 1¼,0.10-0.20,1.10-1.50,0.15-0.30,0.035,0.035,---,---,0.15-0.30,B 0.001-0.005
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,ASTM A 514/A 514M-00a,E,---,K21604,≤ 150,≤ 6,0.12-0.20,0.40-0.70,0.20-0.40,0.035,0.035,1.40-2.00,---,0.40-0.60,Ti 0.01-0.10; B 0.001-0.005
