Section,Standard Designation,"Grade, Class, Type, Symbol, or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,EN 10028-2:2003,P355GH,1.0473,---,---,---,0.10-0.22,1.10-1.70,0.60,0.025,0.015,0.30,0.30,0.08,Cu 0.30; Nb 0.020; Ti 0.03; V 0.02; Al ≥ 0.020; N 0.012; Cr+Cu+Mo+Ni 0.70
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ISO 9328-2:1991,P 355,---,---,---,---,0.22,0.90-1.60,0.10-0.50,0.035,0.030,0.30,0.30,0.08,Al 0.020; Cu 0.30
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ISO 9328-2:1991,PH 355,---,---,---,---,0.15-0.22,0.90-1.60,0.10-0.50,0.035,0.030,0.30,0.30,0.08,Al 0.020; Cu 0.30
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 738/A 738M-03a,A,---,K12447,≤ 65,≤ 2½,0.24,1.50,0.15-0.50,0.035,0.035,0.25,0.50,0.08,Cu 0.35; V 0.07; Cb 0.04; Cb+V 0.08
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 738/A 738M-03a,,,,> 65,> 2½,0.24,1.60,0.15-0.50,0.035,0.035,0.25,0.50,0.08,Cu 0.35; V 0.07; Cb 0.04; Cb+V 0.08
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,JIS G 3115:2000,SPV 355,---,---,---,---,0.20,1.60,0.15-0.55,0.030,0.030,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 537/A 537M-95 (2000),2,---,K12437,≤ 40,≤ 1½,0.24,0.70-1.35,0.15-0.50,0.035,0.035,0.25,0.25,0.08,Cu 0.35
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 537/A 537M-95 (2000),,,,> 40,> 1½,,1.00-1.60,,,,,,,
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 537/A 537M-95 (2000),3,---,K12437,≤ 40,≤ 1½,0.24,0.70-1.35,0.15-0.50,0.035,0.035,0.25,0.25,0.08,Cu 0.35
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 537/A 537M-95 (2000),,,,> 40,> 1½,,1.00-1.60,,,,,,,
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 737/A 737M-99,C,---,K12202,---,---,0.22,1.15-1.50,0.10-0.55,0.035,0.030,---,---,---,V 0.04-0.11; N 0.03
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 738/A 738M-03a,C,---,---,≤ 65,≤ 2½,0.20,1.50,0.15-0.50,0.025,0.025,0.25,0.50,0.08,Cu 0.35; V 0.05
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 738/A 738M-03a,,,,> 65,> 2½,,1.60,,,,,,,
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,JIS G 3115:2003,SPV410,---,---,---,---,0.18,1.60,0.15-0.75,0.030,0.030,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 612/A 612M-03,---,---,K02900,---,---,0.25,1.00-1.50,0.15-0.50,0.035,0.025,0.25,0.25,0.08,Cu 0.35; V 0.08
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,JIS G 3115:2003,SPV450,---,---,---,---,0.18,1.60,0.15-0.75,0.030,0.030,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 738/A 738M-03a,B,---,K12001,≤ 40,≤ 1½,0.20,0.90-1.50,0.15-0.55,0.030,0.030,0.30,0.60,0.20,Cu 0.35; V 0.07; Cb 0.04; Cb+V 0.08
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 738/A 738M-03a,,,,40 ≤ t ≤ 65,1½ ≤ t ≤ 2½,0.20,0.90-1.50,0.15-0.55,0.030,0.030,0.30,0.60,0.30,
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 738/A 738M-03a,,,,> 65,> 2½,0.20,0.90-1.60,0.15-0.55,0.030,0.030,0.30,0.60,0.30,
