Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 358/A 358M-01,---,---,N08904,0.020,2.00,1.00,0.045,0.035,19.0-23.0,23.0-28.0,4.0-5.0,Cu 1.0-2.0; N 0.10
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 249/A 249M-03,---,---,N08904,0.020,2.00,1.00,0.040,0.030,19.0-23.0,23.0-28.0,4.0-5.0,N 0.10; Cu 1.00-2.00
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,JIS G 3459:1997,SUS890LTP,---,---,0.020,2.00,1.00,0.040,0.030,19.00-23.00,23.00-28.00,4.00-5.00,Cu 1.00-2.00
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,JIS G 3463:1994,SUS890LTB,---,---,0.020,2.00,1.00,0.040,0.030,19.00-23.00,23.00-28.00,4.00-5.00,Cu 1.00-2.00
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,AFNOR NF A 49-244:1993,X2NiCrMoCu25-20,---,---,0.020,2.00,0.40,0.035,0.010,19.0-21.0,24.0-26.0,4.0-5.0,Cu 1.00-2.00
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 240/A 240M-03c,800,---,N08800,0.10,1.50,1.00,0.045,0.015,19.0-23.0,30.0-35.0,---,Cu 0.75; Ti 0.15-0.60
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,JIS G 3467:1988,NCF 800 TF,---,---,0.10,1.50,1.00,0.030,0.015,19.00-23.00,30.00-35.00,---,Cu 0.75; Al 0.15-0.60; Ti 0.15-0.60
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,DIN 17459:1992,X 5 NiCrAlTi 31 20,1.4958,---,0.03-0.08,1.5,0.70,0.015,0.010,19.0-22.0,30.0-32.5,---,Al 0.20-0.50; Ti 0.20-0.50; Al+Ti 0.70;
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,AFNOR NF A 49-244:1993,X5NiCr32-21,---,---,0.05,1.50,0.75,0.035,0.015,19.0-24.0,30.0-33.0,---,Al 0.15-0.60; Ti 0.15-0.60
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,DIN 17459:1992,X 8 NiCrAlTi 32 21,1.4959,---,0.05-0.10,1.5,0.70,0.015,0.010,19.0-22.0,30.0-34.0,---,Al 0.25-0.65; Ti 0.25-0.65; Co 0.5;
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 240/A 240M-03c,800H,---,N08810,0.05-0.10,1.50,1.00,0.045,0.015,19.0-23.0,30.0-35.0,---,Cu 0.75; Ti 0.15-0.60;
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,JIS G 3467:1988,NCF 800H TF,---,---,0.05-0.10,1.50,1.00,0.030,0.015,19.00-23.00,30.00-35.00,---,Cu 0.75; Al 0.15-0.60; Ti 0.15-0.60
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 249/A 249M-03,---,---,N08367,0.030,2.00,1.00,0.040,0.030,20.0-22.0,23.5-25.5,6.0-7.0,N 0.18-0.25; Cu 0.75
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 249/A 249M-03,---,---,N08926,0.020,2.00,0.50,0.030,0.010,19.0-21.0,24.0-26.0,6.0-7.0,N 0.15-0.25; Cu 0.50-1.50
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 312/A 312M-03,---,---,N08926,0.020,2.00,0.50,0.030,0.010,24.0-26.0,19.0-21.0,6.0-7.0,N 0.15-0.25; Cu 0.50-1.50
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 688/A 688M-03,---,---,N08367,0.030,2.00,1.00,0.040,0.030,20.00-22.00,23.50-25.50,6.00-7.00,N 0.18-0.25; Cu 0.75
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 688/A 688M-03,---,---,N08926,0.020,2.00,0.5,0.03,0.01,19.00-21.00,24.00-26.00,6.0-7.0,N 0.15-0.25; Cu 0.5-1.5
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,JIS G 3463:1994,SUS836LTB,---,---,0.030,2.00,1.00,0.040,0.030,19.00-24.00,24.00-26.00,5.00-7.00,N 0.25
