Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 447/A 447M-93 (2003),Type II,---,J93303,0.20-0.45,2.50,1.75,0.05,0.05,23.00-28.00,10.00-14.00,---,N 0.20
7.5A Chemical Composition of Cast Heat Resistant Steels,BS 3100:1991 AMD.1:1992,309C32,---,---,0.20-0.45,2.5,1.5,0.040,0.040,24.0-28.0,11.0-14.0,1.5,N 0.2
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 608/A 608M-02,HH30,---,J93513,0.25-0.35,1.50,0.50-2.00,0.04,0.04,24-28,11-14,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 608/A 608M-02,HH33,---,J93633,0.28-0.38,1.50,0.50-2.00,0.04,0.04,24-26,12-14,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,BS 3100:1991 AMD.1:1992,309C30,---,---,0.5,2.0,2.5,0.050,0.050,22.0-27.0,10.0-14.0,1.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 297/A 297M-97 (2003),HI,---,J94003,0.20-0.50,2.00,2.00,0.04,0.04,26.0-30.0,14.0-18.0,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 608/A 608M-02,HI35,---,J94013,0.30-0.40,1.50,0.50-2.00,0.04,0.04,26-30,14-18,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,JIS G 5122:2003,SCH 18,---,---,0.20-0.50,2.00,2.00,0.040,0.040,26.00-30.00,14.00-18.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,JIS G 5122:12003,SCH 21,---,---,0.25-0.35,1.50,1.75,0.040,0.040,23.00-27.00,19.00-22.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 297/A 297M-97 (2003),HK,---,J94224,0.20-0.60,2.00,2.00,0.04,0.04,24.0-28.0,18.0-22.0,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 351/A 351M-03,HK30,---,J94203,0.25-0.35,1.50,1.75,0.040,0.040,23.0-27.0,19.0-22.0,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 608/A 608M-02,HK30,---,J94203,0.25-0.35,1.50,0.50-2.00,0.04,0.04,23-27,19-22,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 351/A 351M-03,HK40,---,J94204,0.35-0.45,1.50,1.75,0.040,0.040,23.0-27.0,19.0-22.0,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,EN 10295:2002,GX40CrNiSi25-20,1.4848,---,0.30-0.50,2.00,1.00-2.50,0.040,0.030,24.00-27.00,19.00-22.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,JIS G 5122:2003,SCH 22,---,---,0.35-0.45,1.50,1.75,0.040,0.040,23.00-27.00,19.00-22.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,BS 3100:1991 AMD.1:1992,310C40,---,---,0.30-0.5,2.0,1.5,0.040,0.040,24.0-27.0,19.0-22.0,1.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ISO 11973:1999,GX40CrNiSi25-20,---,---,0.3-0.5,2,1.0-2.5,0.04,0.03,24-27,19-22,0.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 608/A 608M-02,HK40,---,J94204,0.35-0.45,1.50,0.50-2.00,0.04,0.04,23-27,19-22,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,BS 3100:1991 AMD.1:1992,310C45,---,---,0.5,2.0,3.0,0.050,0.050,22.0-27.0,17.0-22.0,1.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 297/A 297M-97 (2003),HL,---,N08604,0.20-0.60,2.00,2.00,0.04,0.04,28.0-32.0,18.0-22.0,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 608/A 608M-02,HL30,---,N08613,0.25-0.35,1.50,0.50-2.00,0.04,0.04,28-32,18-22,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 608/A 608M-02,HL40,---,N08614,0.35-0.45,1.50,0.50-2.00,0.04,0.04,28-32,18-22,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,JIS G 5122:2003,SCH 23,---,---,0.20-0.60,2.00,2.00,0.040,0.040,28.00-32.00,18.00-22.00,0.50,---
