Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,347,---,S34700,---,---,0.08,2.00,0.75,0.045,0.030,17.0-19.0,9.0-13.0,---,Cb 10 x C to 1.00
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X6CrNiNb18-10,1.4550,---,---,---,0.08,2.00,1.00,0.045,0.015,17.00-19.00,9.00-12.00,---,Nb 10 x C to 1.00
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 6 CrNiNb 18 10,---,---,---,---,0.08,2.00,1.00,0.045,0.030,17.00-19.00,9.00-12.00,---,Nb 10 x C to 1.00
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,347H,---,S34709,---,---,0.04-0.10,2.00,0.75,0.045,0.030,17.0-19.0,9.0-13.0,---,Cb 8 x C to 1.00
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X8CrNiNb16-13,1.4961,---,---,---,0.04-0.10,1.50,0.30-0.60,0.035,0.015,15.00-17.00,12.00-14.00,---,Nb 10 x C to 1.20
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 7 CrNiNb 18 10,---,---,---,---,0.04-0.10,2.00,1.00,0.045,0.030,17.00-19.00,9.00-12.00,---,Nb 10 x C to 1.20
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,904L,---,N08904,---,---,0.020,2.00,1.00,0.045,0.035,19.0-23.0,23.0-28.0,4.0-5.0,Cu 1.0-2.0; N 0.10
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X1NiCrMoCu25-20-5,1.4539,---,---,---,0.020,2.00,0.70,0.030,0.010,19.00-21.00,24.00-26.00,4.00-5.00,Cu 1.20-2.00; N 0.15
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 2 NiCrMoCu 25 20 5,---,---,---,---,0.025,2.00,1.00,0.035,0.025,19.00-22.00,24.00-27.00,4.00-5.00,Cu 1.00-2.00
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,---,---,N08926,---,---,0.020,2.00,0.50,0.030,0.010,19.0-21.0,24.0-26.0,6.0-7.0,Cu 0.5-1.5; N 0.15-0.25
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X1NiCrMoCuN25-20-7,1.4529,---,---,---,0.020,1.00,0.50,0.030,0.010,19.00-21.00,24.00-26.00,6.00-7.00,Cu 0.50-1.50; N 0.15-0.25
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,---,---,S31277,---,---,0.020,3.00,0.50,0.030,0.010,20.5-23.0,26.0-28.0,6.5-8.0,Cu 0.50-1.50; N 0.30-0.40
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,800,---,N08800,---,---,0.10,1.50,1.00,0.045,0.015,19.0-23.0,30.0-35.0,---,Cu 0.75; Ti 0.15-0.60 Al 0.15-0.60; Fe 39.5 min;
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 7 NiCrAlTi 32 21 TQ1,---,---,---,---,0.10,2.00,1.00,0.030,0.020,19.00-23.00,30.00-35.00,---,Cu 0.75; Ti 0.15-0.60; Al 0.15-0.60
