Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10088-3:1995,X1NiCrMoCu25-20-5,1.4539,---,0.020,2.00,0.70,0.030,0.010,19.00-21.00,24.00-26.00,4.00-5.00,N 0.15; Cu 1.20-2.00
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,321,---,S32100,0.08,2.00,1.00,0.045,0.030,17.0-19.0,9.0-12.0,---,Ti 5 x (C+N) to 0.70
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS321,---,---,0.08,2.00,1.00,0.045,0.030,17.00-19.00,9.00-13.00,---,Ti 5 x C min
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4318:1998,SUS321,---,---,0.08,2.00,1.00,0.045,0.030,17.00-19.00,9.00-13.00,---,Ti 5 x C min
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4311:1991,SUS321,---,---,0.08,2.00,1.00,0.045,0.030,17.00-19.00,9.00-13.00,---,Ti 5 x C min
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10088-3:1995,X6CrNiTi18-10,1.4541,---,0.08,2.00,1.00,0.045,0.030,17.00-19.00,9.00-12.00,---,Ti 5 x C to 0.70
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ISO 4955:1994,X7CrNiTi18-10,---,---,0.040-0.10,2.0,1.0,0.045,0.030,17.0-19.0,9.0-12.0,---,Ti 5 x C to 0.80
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,347,---,S34700,0.08,2.00,1.00,0.045,0.030,17.0-19.0,9.0-12.0,---,Cb 10 x C to 1.10
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS347,---,---,0.08,2.00,1.00,0.045,0.030,17.00-19.00,9.00-13.00,---,Nb 10 x C min
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4311:1991,SUS347,---,---,0.08,2.00,1.00,0.045,0.030,17.00-19.00,9.00-13.00,---,Nb 10 x C min
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4318:1998,SUS347,---,---,0.08,2.00,1.00,0.045,0.030,17.00-19.00,9.00-13.00,---,Nb 10 x C min
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10088-3:1995,X6CrNiNb18-10,1.4550,---,0.08,2.00,1.00,0.045,0.015,17.00-19.00,9.00-12.00,---,Nb 10 x C to 1.00
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ISO 4955:1994,X7CrNiNb18-10,---,---,0.040-0.10,2.0,1.0,0.045,0.030,17.0-19.0,9.0-12.0,---,Nb 10 x C to 1.2
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,309,---,S30900,0.20,2.00,1.00,0.045,0.030,22.0-24.0,12.0-15.0,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4311:1991,SUH309,---,---,0.20,2.00,1.00,0.040,0.030,22.00-24.00,12.00-15.00,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10095:1999,X12CrNi23-13,1.4833,---,0.15,2.00,1.00,0.045,0.015,22.00-24.00,12.00-14.00,---,N 0.11
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,310,---,S31000,0.25,2.00,1.50,0.045,0.030,24.0-26.0,19.0-22.0,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4311:1991,SUH310,---,---,0.25,2.00,1.50,0.040,0.030,24.00-26.00,19.00-22.00,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10095:1999,X15CrNiSi25-21,1.4841,---,0.20,2.00,1.50-2.50,0.045,0.015,24.00-26.00,19.00-22.00,---,N 0.11
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ISO 4955:1994,X15CrNiSi25-21,---,---,0.20,2.0,1.5-2.5,0.045,0.030,24.0-26.0,19.0-22.0,---,---
