Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,JIS G 3114:1998,SMA400BW,---,---,≤ 200,---,0.18,1.25,0.15-0.65,0.035,0.035,0.45-0.75,0.05-0.30,---,Cu 0.30-0.50
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,JIS G 3114:1998,SMA400CW,---,---,≤ 100,---,0.18,1.25,0.15-0.65,0.035,0.035,0.45-0.75,0.05-0.30,---,Cu 0.30-0.50
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,JIS G 3114:1998,SMA400AP,---,---,≤ 200,---,0.18,1.25,0.55,0.035,0.035,0.30-0.55,---,---,Cu 0.20-0.35
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,JIS G 3114:1998,SMA400BP,---,---,≤ 200,---,0.18,1.25,0.55,0.035,0.035,0.30-0.55,---,---,Cu 0.20-0.35
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,JIS G 3114:1998,SMA400CP,---,---,≤ 100,---,0.18,1.25,0.55,0.035,0.035,0.30-0.55,---,---,Cu 0.20-0.35
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,JIS G 3125:1987,SPA-C,---,---,0.6 ≤ t ≤ 2.3,---,0.12,0.20-0.50,0.25-0.75,0.070-0.150,0.040,0.30-1.25,0.65,---,Cu 0.25-0.60
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ISO 4952:2003,Gr. Fe 355W Quality 2B,---,---,---,---,0.19,0.50-1.50,0.50,0.040,0.035,0.40-0.80,0.65,0.30,Cu 0.20-0.55; Zr 0.15
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ISO 4952:2003,Gr. Fe 355W Quality 2C,---,---,---,---,0.19,0.50-1.50,0.50,0.040,0.035,0.40-0.80,0.65,0.30,Cu 0.20-0.55; Zr 0.15; grain-refining elements
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ISO 4952:2003,Gr. Fe 355W Quality 2D,---,---,---,---,0.19,0.50-1.50,0.50,0.040,0.035,0.40-0.80,0.65,0.30,Cu 0.20-0.55; Zr 0.15; grain-refining elements
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ASTM A 606-01,2,---,---,---,---,0.22,1.25,---,---,0.04,---,---,---,Cu 0.20 min; others as required
